gene,0h R1,0h R2,0h R3,6h R1,6h R2,6h R3,12h R1,12h R2,12h R3
Esrrb,11.3,11.0,11.0,11.1,11.3,11.2,11.3,11.3,11.4
Cdc42ep4,7.9,7.9,8.0,7.7,7.8,7.8,7.8,7.8,7.7
St6gal1,7.6,7.5,7.3,7.3,7.4,7.5,7.4,7.4,7.5
Snai3,7.2,7.2,7.3,7.2,7.3,7.3,7.3,7.2,7.1
Cpsf4l,8.4,8.4,8.5,8.6,8.4,8.5,8.3,8.5,8.2
6330407J23Rik,7.2,7.2,7.3,7.0,7.1,7.1,7.0,7.1,6.9
Tmem51,8.1,8.0,8.2,8.2,8.2,8.1,8.3,8.4,8.2
Ppap2a,7.7,7.9,7.9,7.8,7.8,7.7,7.9,7.7,7.8
En1,6.9,6.8,6.9,6.8,6.9,6.8,6.8,6.8,6.7
Klf4,8.1,8.0,7.7,8.2,8.1,8.4,8.1,8.3,8.3
Prr13,10.1,10.1,10.2,10.2,10.2,10.2,10.4,10.3,10.3
Mras,7.2,7.2,7.3,7.3,7.4,7.3,7.7,7.6,7.6
AC157994.1,7.2,7.2,7.3,7.3,7.4,7.3,7.7,7.6,7.6
Myst4,9.3,9.3,9.2,9.4,9.4,9.3,9.4,9.4,9.5
Avpi1,8.1,8.2,8.3,7.9,7.9,7.8,8.0,7.9,7.8
Igf2bp2,9.6,9.7,9.7,9.5,9.6,9.5,9.7,9.5,9.6
E130012A19Rik,11.6,11.5,11.5,11.2,11.2,11.1,10.9,10.9,11.1
Manba,8.0,7.9,7.8,8.1,8.0,8.1,7.8,8.0,8.0
Plekhg3,8.2,8.3,8.2,8.4,8.5,8.4,8.7,8.5,8.6
Klf5,10.8,11.1,11.0,11.1,11.1,11.1,11.2,10.9,11.1
Spp1,9.8,9.5,9.4,10.0,9.9,10.0,9.8,10.2,10.1
Porcn,7.6,7.8,7.7,7.7,7.7,7.6,7.7,7.6,7.6
Ebp,7.6,7.8,7.7,7.7,7.7,7.6,7.7,7.6,7.6
B3gnt1,7.9,7.9,7.8,7.9,7.9,8.0,7.8,7.9,7.9
Xbp1,9.8,9.7,9.9,9.7,9.9,9.6,9.6,9.5,9.4
Ctnnal1,9.9,9.7,9.7,9.8,9.8,9.8,9.5,9.7,9.7
1110032A13Rik,9.5,9.7,9.7,9.6,9.6,9.6,9.7,9.5,9.5
Slc7a3,10.4,10.1,10.1,10.3,10.4,10.3,10.1,10.3,10.4
Ets2,7.8,7.8,7.8,7.7,7.9,7.7,7.9,7.7,7.8
Cdh3,7.0,6.9,6.9,7.4,7.5,7.4,7.5,7.4,7.5
Lmo4,9.1,9.0,9.0,8.9,8.9,9.0,8.8,9.0,8.9
Setd1b,8.1,8.1,8.0,7.9,8.1,8.0,8.0,7.8,8.0
Trh,10.1,10.0,10.1,10.0,10.0,10.1,9.8,10.0,9.7
Pdpk1,8.0,8.1,8.1,7.9,8.0,8.0,8.1,7.8,7.8
Sox21,7.4,7.4,7.2,7.4,7.4,7.5,7.4,7.5,7.6
Kit,7.8,7.8,7.5,8.1,7.9,7.9,7.9,8.2,8.3
Sp5,7.0,7.1,7.0,6.8,6.9,7.0,6.9,6.8,6.8
Socs3,9.8,9.9,9.8,9.7,9.9,9.8,9.9,9.5,9.7
Dusp1,9.4,9.4,9.1,9.5,9.5,9.6,9.4,9.4,9.6
AL670941.2,9.8,9.3,9.6,9.7,9.5,9.6,8.9,9.7,9.4
Ctbp2,8.6,8.7,8.9,8.5,8.4,8.2,8.6,8.6,8.6
Rbpms,9.4,9.4,9.5,9.0,9.2,9.1,9.4,9.2,9.2
Smagp,9.9,9.8,10.1,9.8,9.9,9.8,9.9,10.0,9.7
Ddit4,8.3,8.3,8.3,8.5,8.5,8.3,8.6,8.6,8.7
Esam,8.3,8.3,8.4,8.4,8.5,8.6,8.6,8.4,8.2
Tcf15,9.9,10.2,10.1,10.0,10.0,10.1,9.9,9.6,9.5
8430410A17Rik,9.7,9.4,9.6,9.4,9.5,9.4,9.2,9.5,9.4
Rbm47,9.1,9.0,8.6,9.1,9.0,9.3,8.7,9.1,9.0
Fzd7,9.5,9.0,8.9,9.3,9.4,9.4,8.7,9.3,9.3
Nid2,9.1,9.2,8.9,9.1,9.2,9.3,9.3,9.2,9.4
Lpar6,8.9,8.8,8.9,9.1,9.0,9.1,8.9,9.1,8.9
Lefty1,9.3,9.2,9.3,8.7,8.6,8.5,8.7,8.7,8.8
Raet1d,8.5,8.5,8.4,8.6,8.5,8.6,8.4,8.5,8.5
Raet1e,8.5,8.5,8.4,8.6,8.5,8.6,8.4,8.5,8.5
Liph,9.6,9.7,9.7,9.7,9.9,9.8,10.0,9.8,9.8
Cyp2s1,9.0,9.1,9.1,9.0,8.8,8.8,8.7,8.8,8.8
Edn2,7.5,7.5,7.5,7.1,7.1,7.2,6.9,6.9,6.8
Ei24,9.8,9.4,9.3,9.6,9.5,9.6,9.2,9.7,9.7
Otx2,8.8,8.7,8.8,8.8,8.9,8.9,8.9,8.9,8.9
Lefty2,8.3,8.1,8.1,8.0,8.0,8.0,7.9,8.2,8.1
Hmgxb4,9.6,9.4,9.2,9.2,9.2,9.4,8.9,9.3,9.3
Lpar4,8.7,8.6,8.4,8.7,8.7,8.8,8.3,8.5,8.4
Id1,9.7,9.8,9.8,9.1,9.3,9.1,9.0,8.7,8.8
Ctgf,10.7,10.6,10.4,10.2,10.2,10.3,10.0,10.1,10.3
